id,year,section,section_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,created_at,trade,country
y1_E_Can_Q584,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,TDG label for batteries?,Class 8 Corrosive,Class 1 Explosive,Class 4 Flammable,Class 9 Misc,A,A correct: Electrolyte corrosive. Others possible secondary.,"TDG, AIT FS",,electrician,CA
y1_E_Can_Q585,1,3,"ELE THEORY, CIRC, ELECTRONICS",easy,Hot work permit for?,Welding/grinding,Cable pulling,Testing,Lockout,A,A correct: Sparks ignition risk. Others no.,AIT FS,,electrician,CA
y1_E_Can_Q586,1,3,"ELE THEORY, CIRC, ELECTRONICS",medium,Tone generator for?,Cable tracing,Voltage meas,Continuity,Load test,A,A correct: Identifies pairs. Others basic.,AIT TL,,electrician,CA
y1_E_Can_Q587,1,3,"ELE THEORY, CIRC, ELECTRONICS",hard,Progressive discipline steps?,"Verbal, written, suspension, term",Immediate term,Warning only,No process,A,A correct: OH&S graduated. Others inadequate.,Alberta OH&S,,electrician,CA
y1_E_Can_Q588,1,4,ELECTRICAL SYSTEMS,easy,Series circuit trait?,Current same everywhere,Voltage same everywhere,Power adds inversely,Resistance decreases,A,"A correct: Series has single current path. B=parallel voltage; C,D incorrect additions.","AIT CS 37%, Resistive Circuits",,electrician,CA
y1_E_Can_Q589,1,4,ELECTRICAL SYSTEMS,medium,Parallel circuit: total R?,Reciprocal sum,Sum of individuals,Product/sum,Average,A,A correct: 1/Rt=1/R1+1/R2+... B=series; C voltage divider; D meaningless.,AIT CS Resistive,,electrician,CA
y1_E_Can_Q590,1,4,ELECTRICAL SYSTEMS,easy,Kirchhoff's Voltage Law?,Sum voltages=0 in loop,Sum currents=0 at node,Power in=out,Charge conservation,A,A correct: KVL for closed loops. B=KCL node; others energy/charge.,AIT CS Fundamentals,,electrician,CA
y1_E_Can_Q591,1,4,ELECTRICAL SYSTEMS,medium,Ground fault purpose?,Trip on imbalance,Balance phases,Limit voltage,Fuse overload,A,A correct: GFCI detects 5mA imbalance to ground. Others unrelated.,"CEC 26-704, AIT CS",,electrician,CA
y1_E_Can_Q592,1,4,ELECTRICAL SYSTEMS,medium,Fuse rating basis?,Continuous load x 1.25,Peak load,Motor start,Branch max,A,A correct: CEC 14-104: 125% continuous. Others overload/special.,"CEC 14-104, AIT CS",,electrician,CA
y1_E_Can_Q593,1,4,ELECTRICAL SYSTEMS,easy,Continuity test when?,Power off,Live circuits,High voltage,With load,A,A correct: Safety requires de-energize. Others hazardous.,AIT CS Testing,,electrician,CA
y1_E_Can_Q594,1,4,ELECTRICAL SYSTEMS,hard,Voltage drop max residential?,5% branch circuit,3% feeder,8% total,No limit,A,A correct: CEC recommendation 8-102 for 5% circuits/3% feeders. C total.,CEC 8-102,,electrician,CA
y1_E_Can_Q595,1,4,ELECTRICAL SYSTEMS,medium,Shunt trip breaker for?,Fire alarm disconnect,Overload,Short circuit,GFCI,A,A correct: CEC 46-204 elevator/fire disconnect. Others standard.,CEC 46-204,,electrician,CA
y1_E_Can_Q596,1,4,ELECTRICAL SYSTEMS,medium,Insulation test min for new?,1 MO at 500V,0.5 MO,No test req,10 MO,A,A correct: CEC 10-802 recommends 1MO. Lower suspect.,CEC 10-802,,electrician,CA
y1_E_Can_Q597,1,4,ELECTRICAL SYSTEMS,easy,Polarity test outcome?,Open=bad,Short=good,Infinite R=good,0O=bad,C,C correct: High R good insulation. A open wire; B short fault.,AIT CS,,electrician,CA
y1_E_Can_Q598,1,4,ELECTRICAL SYSTEMS,hard,Thevenin equivalent steps?,"Open sources, short voltage",Voc & Isc,Norton convert,Max power match,B,"B correct: Vth=Voc, Rth=Vth/Isc. A partial; others variants.",AIT CS Theory,,electrician,CA
y1_E_Can_Q599,1,4,ELECTRICAL SYSTEMS,medium,Relay coil function?,Energize contacts,Sense current,Protect overload,Filter noise,A,A correct: Electromagnetic switch. Others assoc.,AIT CS,,electrician,CA
y1_E_Can_Q600,1,4,ELECTRICAL SYSTEMS,easy,Branch circuit def?,From panel to load,Service only,Feeder only,Appliance,A,A correct: CEC 0-200. Others upstream/down.,CEC 0-200,,electrician,CA
y1_E_Can_Q601,1,4,ELECTRICAL SYSTEMS,medium,Overload relay class?,10 trip time,Instant,Thermal only,Magnetic,A,A correct: Class 10 common 10s trip. Others types.,AIT CS Controls Intro,,electrician,CA
y1_E_Can_Q602,1,4,ELECTRICAL SYSTEMS,easy,Disconnect min rating?,115% load,Load amps,2x load,Group,A,A correct: CEC 14-602 115% continuous.,CEC 14-602,,electrician,CA
y1_E_Can_Q603,1,4,ELECTRICAL SYSTEMS,hard,Delta config trait?,No neutral possible,Wye neutral,Line=phase V,Balanced only,A,A correct: 3-wire no center. B wye; C no.,AIT CS Intro AC,,electrician,CA
y1_E_Can_Q604,1,4,ELECTRICAL SYSTEMS,medium,Tamper-resistant recept?,Bedrooms/kids areas,All 15A,Commercial only,No req,A,A correct: CEC 26-414 dwelling units.,CEC 26-414,,electrician,CA
y1_E_Can_Q605,1,4,ELECTRICAL SYSTEMS,easy,Circuit tracer use?,Live dead circuits,Power off only,High V,Breakers,A,A correct: Tone for energized/de. B limited.,AIT CS,,electrician,CA
y1_E_Can_Q606,1,4,ELECTRICAL SYSTEMS,medium,GFCI test monthly?,Push test button,Visual check,Load test,Megger,A,A correct: Verify trip function. Others insufficient.,CEC 26-704,,electrician,CA
y1_E_Can_Q607,1,4,ELECTRICAL SYSTEMS,hard,Norton equiv?,Current source // Rth,Voltage series,Ideal current,Thev convert,A,"A correct: In= Isc, Rn=Rth parallel. D dual.",AIT CS,,electrician,CA
y1_E_Can_Q608,1,4,ELECTRICAL SYSTEMS,easy,Bell circuit class?,2 low energy,1 power,3 fire,Extra low,A,A correct: CEC Class 2 <30V safe. Others higher.,CEC 16-200,,electrician,CA
y1_E_Can_Q609,1,4,ELECTRICAL SYSTEMS,medium,Photovoltaic hazard?,DC arc flash,AC only,Low voltage,No shock,A,A correct: Open DC arcs hard extinguish. Others less.,AIT CS Systems Intro,,electrician,CA
y1_E_Can_Q610,1,4,ELECTRICAL SYSTEMS,easy,Confined space entry roles?,"Entrant, attendant, supervisor",Worker only,All enter,No roles,A,A correct: OH&S defined. Others incomplete.,Alberta OH&S,,electrician,CA
y1_E_Can_Q611,1,4,ELECTRICAL SYSTEMS,hard,Phase rotation meter?,Sequence ABC/ ACB,Voltage level,Current balance,Power factor,A,A correct: Motor direction. Others power qual.,AIT TL Advanced,,electrician,CA
y1_E_Can_Q612,1,4,ELECTRICAL SYSTEMS,medium,Ergonomics hazard?,Repetitive strain,Chemical exposure,Fall,Shock,A,A correct: Musculoskeletal. Others separate.,AIT FS,,electrician,CA
y1_E_Can_Q613,1,4,ELECTRICAL SYSTEMS,easy,First aid kit contents?,"Bandages, scissors",Only gloves,Painkillers only,CPR mask,A,A correct: Standard OH&S list. D partial.,Alberta OH&S,,electrician,CA
y1_E_Can_Q614,1,4,ELECTRICAL SYSTEMS,medium,Conduit bender types?,Hand ?? EMT,Hydraulic large,Both,None,C,C correct: Various sizes. Specific limited.,AIT TL,,electrician,CA
y1_E_Can_Q615,1,4,ELECTRICAL SYSTEMS,medium,Hazard control effectiveness?,Higher up hierarchy better,PPE always best,Cost lowest,Easiest,A,A correct: Elimination > PPE. Last resort.,CSA Z1000,,electrician,CA
y1_E_Can_Q616,1,4,ELECTRICAL SYSTEMS,easy,Site orientation covers?,"Hazards, exits, PPE",Tools only,Pay,Schedule,A,A correct: Safety basics first. Others admin.,AIT FS,,electrician,CA
y1_E_Can_Q617,1,4,ELECTRICAL SYSTEMS,easy,Wire stripper gauge?,Adjustable for AWG,Fixed only,Voltage,Current,A,A correct: Matches insulation. Others no.,AIT TL,,electrician,CA
y1_E_Can_Q618,1,4,ELECTRICAL SYSTEMS,hard,Joint OH&S responsibility?,All parties,Employer only,Worker only,Union,A,A correct: Shared duties Alberta OH&S.,Alberta OH&S Act,,electrician,CA
y1_E_Can_Q619,1,4,ELECTRICAL SYSTEMS,easy,Lockout device personal?,Do not remove own,Group use,Reusable only,Tagless,A,A correct: Personal application only.,CSA Z460,,electrician,CA
y1_E_Can_Q620,1,4,ELECTRICAL SYSTEMS,medium,VOM vs DMM?,Analog needle,Digital display,Same accuracy,No diff,B,B correct: DMM digital readout. A analog.,AIT TL Instruments,,electrician,CA
y1_E_Can_Q621,1,4,ELECTRICAL SYSTEMS,medium,Evacuation roles?,"Warden, monitor",All run,Supervisor only,No plan,A,A correct: Designated per OH&S. Others chaos.,Alberta OH&S,,electrician,CA
y1_E_Can_Q622,1,4,ELECTRICAL SYSTEMS,easy,PVR purpose?,Prove zero energy,Visual check,Voltage test,Audible,A,A correct: Post-LOTO verify. Others partial.,CSA Z462,,electrician,CA
y1_E_Can_Q623,1,4,ELECTRICAL SYSTEMS,hard,Hipot tester?,High potential insulation,Low V continuity,Ground bond,Leakage,A,A correct: Dielectric withstand. Others assoc.,AIT TL Advanced,,electrician,CA
y1_E_Can_Q624,1,4,ELECTRICAL SYSTEMS,medium,MSDS location?,Job site accessible,Office only,Online optional,Not req,A,A correct: Readily available WHMIS.,WHMIS Reg,,electrician,CA
y1_M_Can_Q1000,1,4,Machining,medium,Cutting fluid selection depends on:,Material being cut,Type of operation,Cutting speed,All of the above,D,"Answer: D | Cutting fluids cool the tool and workpiece, lubricate the cutting action, and flush away chips. Selection depends on material being machined and type of operation for optimal tool life and surface finish.",Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1001,1,4,Machining,medium,"When using a file, a file card is used to:",Measure dimensions,Clean chips from the file teeth,Sharpen the file,Mark the workpiece,B,Answer: B | Clean chips from the file teeth is correct per Machining standards and millwright best practices per AIT Year 1 curriculum.,Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1002,1,4,Machining,medium,Dead centers on a lathe:,Rotate with the work,Do not rotate,Are adjustable,Mount in the headstock only,B,"Answer: B | Lathe operations require proper speed (RPM) and feed selection based on material, tool type, and desired finish. Cutting speed (surface feet per minute) and workpiece diameter determine RPM.",Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1003,1,4,Machining,medium,The compound rest on a lathe is used for:,Supporting long work,Cutting tapers and angles,Holding the tailstock,Storing tools,B,"Answer: B | Lathe operations require proper speed (RPM) and feed selection based on material, tool type, and desired finish. Cutting speed (surface feet per minute) and workpiece diameter determine RPM.",Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1004,1,4,Machining,medium,A three-jaw chuck is:,Self-centering,Independent,Used for square work only,Not reversible,A,"Answer: A | A three-jaw chuck is self-centering - all three jaws move simultaneously when the chuck key is turned, automatically centering the workpiece. It is primarily used for round or hexagonal work. While quick to use, it has less holding accuracy than a four-jaw independent chuck. Most three-jaw chucks have reversible jaws for holding both external and internal surfaces.",Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1005,1,4,Machining,medium,The carriage on a lathe:,Rotates the workpiece,Moves the cutting tool along the bed,Holds the motor,Adjusts the speed,B,"Answer: B | Lathe operations require proper speed (RPM) and feed selection based on material, tool type, and desired finish. Cutting speed (surface feet per minute) and workpiece diameter determine RPM.",Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1006,1,4,Machining,medium,"On a drill press, the quill is:",The motor housing,The movable spindle assembly,The base,The table,B,Answer: B | The movable spindle assembly is correct per Machines standards and millwright best practices per AIT Year 1 curriculum.,Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1007,1,4,Machining,medium,A four-jaw independent chuck allows:,Automatic centering only,Individual adjustment of each jaw,Faster work mounting,No adjustment,B,Answer: B | Individual adjustment of each jaw is correct per Machines standards and millwright best practices per AIT Year 1 curriculum.,Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1008,1,4,Machining,medium,The column on a drill press:,Holds the bit,Supports the head and table,Rotates the work,Adjusts the speed,B,Answer: B | Supports the head and table is correct per Machines standards and millwright best practices per AIT Year 1 curriculum.,Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1009,1,4,Machining,medium,Milling machine vises should be aligned:,By eye,Parallel or perpendicular to table travel,At random,At 45 degrees,B,"Answer: B | Milling machines remove material using rotating multi-point cutters. Feed, speed, and depth of cut must be selected based on material hardness, cutter type, and desired surface finish.",Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
y1_M_Can_Q1010,1,4,Machining,medium,T-slots on a milling machine table are used for:,Decoration,Chip collection,Mounting workholding devices,Coolant drainage,C,"Answer: C | Milling machines remove material using rotating multi-point cutters. Feed, speed, and depth of cut must be selected based on material hardness, cutter type, and desired surface finish.",Millwright Year 1 Curriculum,14-02-2026,millwright / industrial mechanic,CA
