id,year,section,section_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference
"y1_new_1770921611895_18","1","1","Section 1","medium","Year 1 Question 18 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 18","Option B for Year 1 Question 18","Option C for Year 1 Question 18","Option D for Year 1 Question 18","B","Explanation for Year 1 Question 18 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_19","1","1","Section 1","medium","Year 1 Question 19 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 19","Option B for Year 1 Question 19","Option C for Year 1 Question 19","Option D for Year 1 Question 19","C","Explanation for Year 1 Question 19 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_20","1","1","Section 1","medium","Year 1 Question 20 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 20","Option B for Year 1 Question 20","Option C for Year 1 Question 20","Option D for Year 1 Question 20","D","Explanation for Year 1 Question 20 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_21","1","1","Section 1","medium","Year 1 Question 21 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 21","Option B for Year 1 Question 21","Option C for Year 1 Question 21","Option D for Year 1 Question 21","A","Explanation for Year 1 Question 21 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_22","1","1","Section 1","medium","Year 1 Question 22 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 22","Option B for Year 1 Question 22","Option C for Year 1 Question 22","Option D for Year 1 Question 22","B","Explanation for Year 1 Question 22 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_23","1","1","Section 1","medium","Year 1 Question 23 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 23","Option B for Year 1 Question 23","Option C for Year 1 Question 23","Option D for Year 1 Question 23","C","Explanation for Year 1 Question 23 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_24","1","1","Section 1","medium","Year 1 Question 24 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 24","Option B for Year 1 Question 24","Option C for Year 1 Question 24","Option D for Year 1 Question 24","D","Explanation for Year 1 Question 24 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_25","1","1","Section 1","medium","Year 1 Question 25 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 25","Option B for Year 1 Question 25","Option C for Year 1 Question 25","Option D for Year 1 Question 25","A","Explanation for Year 1 Question 25 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_26","1","2","Section 2","medium","Year 1 Question 26 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 26","Option B for Year 1 Question 26","Option C for Year 1 Question 26","Option D for Year 1 Question 26","B","Explanation for Year 1 Question 26 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_27","1","2","Section 2","medium","Year 1 Question 27 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 27","Option B for Year 1 Question 27","Option C for Year 1 Question 27","Option D for Year 1 Question 27","C","Explanation for Year 1 Question 27 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_28","1","2","Section 2","medium","Year 1 Question 28 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 28","Option B for Year 1 Question 28","Option C for Year 1 Question 28","Option D for Year 1 Question 28","D","Explanation for Year 1 Question 28 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_29","1","2","Section 2","medium","Year 1 Question 29 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 29","Option B for Year 1 Question 29","Option C for Year 1 Question 29","Option D for Year 1 Question 29","A","Explanation for Year 1 Question 29 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_30","1","2","Section 2","medium","Year 1 Question 30 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 30","Option B for Year 1 Question 30","Option C for Year 1 Question 30","Option D for Year 1 Question 30","B","Explanation for Year 1 Question 30 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_31","1","2","Section 2","medium","Year 1 Question 31 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 31","Option B for Year 1 Question 31","Option C for Year 1 Question 31","Option D for Year 1 Question 31","C","Explanation for Year 1 Question 31 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_32","1","2","Section 2","medium","Year 1 Question 32 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 32","Option B for Year 1 Question 32","Option C for Year 1 Question 32","Option D for Year 1 Question 32","D","Explanation for Year 1 Question 32 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_33","1","2","Section 2","medium","Year 1 Question 33 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 33","Option B for Year 1 Question 33","Option C for Year 1 Question 33","Option D for Year 1 Question 33","A","Explanation for Year 1 Question 33 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_34","1","2","Section 2","medium","Year 1 Question 34 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 34","Option B for Year 1 Question 34","Option C for Year 1 Question 34","Option D for Year 1 Question 34","B","Explanation for Year 1 Question 34 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_35","1","2","Section 2","medium","Year 1 Question 35 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 35","Option B for Year 1 Question 35","Option C for Year 1 Question 35","Option D for Year 1 Question 35","C","Explanation for Year 1 Question 35 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_36","1","2","Section 2","medium","Year 1 Question 36 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 36","Option B for Year 1 Question 36","Option C for Year 1 Question 36","Option D for Year 1 Question 36","D","Explanation for Year 1 Question 36 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_37","1","2","Section 2","medium","Year 1 Question 37 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 37","Option B for Year 1 Question 37","Option C for Year 1 Question 37","Option D for Year 1 Question 37","A","Explanation for Year 1 Question 37 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_38","1","2","Section 2","medium","Year 1 Question 38 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 38","Option B for Year 1 Question 38","Option C for Year 1 Question 38","Option D for Year 1 Question 38","B","Explanation for Year 1 Question 38 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_39","1","2","Section 2","medium","Year 1 Question 39 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 39","Option B for Year 1 Question 39","Option C for Year 1 Question 39","Option D for Year 1 Question 39","C","Explanation for Year 1 Question 39 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_40","1","2","Section 2","medium","Year 1 Question 40 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 40","Option B for Year 1 Question 40","Option C for Year 1 Question 40","Option D for Year 1 Question 40","D","Explanation for Year 1 Question 40 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_41","1","2","Section 2","medium","Year 1 Question 41 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 41","Option B for Year 1 Question 41","Option C for Year 1 Question 41","Option D for Year 1 Question 41","A","Explanation for Year 1 Question 41 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_42","1","2","Section 2","medium","Year 1 Question 42 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 42","Option B for Year 1 Question 42","Option C for Year 1 Question 42","Option D for Year 1 Question 42","B","Explanation for Year 1 Question 42 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_43","1","2","Section 2","medium","Year 1 Question 43 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 43","Option B for Year 1 Question 43","Option C for Year 1 Question 43","Option D for Year 1 Question 43","C","Explanation for Year 1 Question 43 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_44","1","2","Section 2","medium","Year 1 Question 44 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 44","Option B for Year 1 Question 44","Option C for Year 1 Question 44","Option D for Year 1 Question 44","D","Explanation for Year 1 Question 44 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_45","1","2","Section 2","medium","Year 1 Question 45 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 45","Option B for Year 1 Question 45","Option C for Year 1 Question 45","Option D for Year 1 Question 45","A","Explanation for Year 1 Question 45 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_46","1","2","Section 2","medium","Year 1 Question 46 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 46","Option B for Year 1 Question 46","Option C for Year 1 Question 46","Option D for Year 1 Question 46","B","Explanation for Year 1 Question 46 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_47","1","2","Section 2","medium","Year 1 Question 47 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 47","Option B for Year 1 Question 47","Option C for Year 1 Question 47","Option D for Year 1 Question 47","C","Explanation for Year 1 Question 47 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_48","1","2","Section 2","medium","Year 1 Question 48 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 48","Option B for Year 1 Question 48","Option C for Year 1 Question 48","Option D for Year 1 Question 48","D","Explanation for Year 1 Question 48 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_49","1","2","Section 2","medium","Year 1 Question 49 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 49","Option B for Year 1 Question 49","Option C for Year 1 Question 49","Option D for Year 1 Question 49","A","Explanation for Year 1 Question 49 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_50","1","2","Section 2","medium","Year 1 Question 50 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 50","Option B for Year 1 Question 50","Option C for Year 1 Question 50","Option D for Year 1 Question 50","B","Explanation for Year 1 Question 50 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_51","1","3","Section 3","medium","Year 1 Question 51 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 51","Option B for Year 1 Question 51","Option C for Year 1 Question 51","Option D for Year 1 Question 51","C","Explanation for Year 1 Question 51 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_52","1","3","Section 3","medium","Year 1 Question 52 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 52","Option B for Year 1 Question 52","Option C for Year 1 Question 52","Option D for Year 1 Question 52","D","Explanation for Year 1 Question 52 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_53","1","3","Section 3","medium","Year 1 Question 53 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 53","Option B for Year 1 Question 53","Option C for Year 1 Question 53","Option D for Year 1 Question 53","A","Explanation for Year 1 Question 53 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_54","1","3","Section 3","medium","Year 1 Question 54 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 54","Option B for Year 1 Question 54","Option C for Year 1 Question 54","Option D for Year 1 Question 54","B","Explanation for Year 1 Question 54 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_55","1","3","Section 3","medium","Year 1 Question 55 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 55","Option B for Year 1 Question 55","Option C for Year 1 Question 55","Option D for Year 1 Question 55","C","Explanation for Year 1 Question 55 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_56","1","3","Section 3","medium","Year 1 Question 56 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 56","Option B for Year 1 Question 56","Option C for Year 1 Question 56","Option D for Year 1 Question 56","D","Explanation for Year 1 Question 56 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_57","1","3","Section 3","medium","Year 1 Question 57 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 57","Option B for Year 1 Question 57","Option C for Year 1 Question 57","Option D for Year 1 Question 57","A","Explanation for Year 1 Question 57 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_58","1","3","Section 3","medium","Year 1 Question 58 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 58","Option B for Year 1 Question 58","Option C for Year 1 Question 58","Option D for Year 1 Question 58","B","Explanation for Year 1 Question 58 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_59","1","3","Section 3","medium","Year 1 Question 59 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 59","Option B for Year 1 Question 59","Option C for Year 1 Question 59","Option D for Year 1 Question 59","C","Explanation for Year 1 Question 59 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_60","1","3","Section 3","medium","Year 1 Question 60 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 60","Option B for Year 1 Question 60","Option C for Year 1 Question 60","Option D for Year 1 Question 60","D","Explanation for Year 1 Question 60 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_61","1","3","Section 3","medium","Year 1 Question 61 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 61","Option B for Year 1 Question 61","Option C for Year 1 Question 61","Option D for Year 1 Question 61","A","Explanation for Year 1 Question 61 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_62","1","3","Section 3","medium","Year 1 Question 62 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 62","Option B for Year 1 Question 62","Option C for Year 1 Question 62","Option D for Year 1 Question 62","B","Explanation for Year 1 Question 62 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_63","1","3","Section 3","medium","Year 1 Question 63 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 63","Option B for Year 1 Question 63","Option C for Year 1 Question 63","Option D for Year 1 Question 63","C","Explanation for Year 1 Question 63 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_64","1","3","Section 3","medium","Year 1 Question 64 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 64","Option B for Year 1 Question 64","Option C for Year 1 Question 64","Option D for Year 1 Question 64","D","Explanation for Year 1 Question 64 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_65","1","3","Section 3","medium","Year 1 Question 65 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 65","Option B for Year 1 Question 65","Option C for Year 1 Question 65","Option D for Year 1 Question 65","A","Explanation for Year 1 Question 65 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_66","1","3","Section 3","medium","Year 1 Question 66 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 66","Option B for Year 1 Question 66","Option C for Year 1 Question 66","Option D for Year 1 Question 66","B","Explanation for Year 1 Question 66 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_67","1","3","Section 3","medium","Year 1 Question 67 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 67","Option B for Year 1 Question 67","Option C for Year 1 Question 67","Option D for Year 1 Question 67","C","Explanation for Year 1 Question 67 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_68","1","3","Section 3","medium","Year 1 Question 68 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 68","Option B for Year 1 Question 68","Option C for Year 1 Question 68","Option D for Year 1 Question 68","D","Explanation for Year 1 Question 68 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_69","1","3","Section 3","medium","Year 1 Question 69 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 69","Option B for Year 1 Question 69","Option C for Year 1 Question 69","Option D for Year 1 Question 69","A","Explanation for Year 1 Question 69 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_70","1","3","Section 3","medium","Year 1 Question 70 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 70","Option B for Year 1 Question 70","Option C for Year 1 Question 70","Option D for Year 1 Question 70","B","Explanation for Year 1 Question 70 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_71","1","3","Section 3","medium","Year 1 Question 71 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 71","Option B for Year 1 Question 71","Option C for Year 1 Question 71","Option D for Year 1 Question 71","C","Explanation for Year 1 Question 71 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_72","1","3","Section 3","medium","Year 1 Question 72 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 72","Option B for Year 1 Question 72","Option C for Year 1 Question 72","Option D for Year 1 Question 72","D","Explanation for Year 1 Question 72 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_73","1","3","Section 3","medium","Year 1 Question 73 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 73","Option B for Year 1 Question 73","Option C for Year 1 Question 73","Option D for Year 1 Question 73","A","Explanation for Year 1 Question 73 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_74","1","3","Section 3","medium","Year 1 Question 74 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 74","Option B for Year 1 Question 74","Option C for Year 1 Question 74","Option D for Year 1 Question 74","B","Explanation for Year 1 Question 74 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_75","1","3","Section 3","medium","Year 1 Question 75 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 75","Option B for Year 1 Question 75","Option C for Year 1 Question 75","Option D for Year 1 Question 75","C","Explanation for Year 1 Question 75 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_76","1","4","Section 4","medium","Year 1 Question 76 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 76","Option B for Year 1 Question 76","Option C for Year 1 Question 76","Option D for Year 1 Question 76","D","Explanation for Year 1 Question 76 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_77","1","4","Section 4","medium","Year 1 Question 77 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 77","Option B for Year 1 Question 77","Option C for Year 1 Question 77","Option D for Year 1 Question 77","A","Explanation for Year 1 Question 77 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_78","1","4","Section 4","medium","Year 1 Question 78 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 78","Option B for Year 1 Question 78","Option C for Year 1 Question 78","Option D for Year 1 Question 78","B","Explanation for Year 1 Question 78 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_79","1","4","Section 4","medium","Year 1 Question 79 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 79","Option B for Year 1 Question 79","Option C for Year 1 Question 79","Option D for Year 1 Question 79","C","Explanation for Year 1 Question 79 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_80","1","4","Section 4","medium","Year 1 Question 80 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 80","Option B for Year 1 Question 80","Option C for Year 1 Question 80","Option D for Year 1 Question 80","D","Explanation for Year 1 Question 80 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_81","1","4","Section 4","medium","Year 1 Question 81 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 81","Option B for Year 1 Question 81","Option C for Year 1 Question 81","Option D for Year 1 Question 81","A","Explanation for Year 1 Question 81 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_82","1","4","Section 4","medium","Year 1 Question 82 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 82","Option B for Year 1 Question 82","Option C for Year 1 Question 82","Option D for Year 1 Question 82","B","Explanation for Year 1 Question 82 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_83","1","4","Section 4","medium","Year 1 Question 83 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 83","Option B for Year 1 Question 83","Option C for Year 1 Question 83","Option D for Year 1 Question 83","C","Explanation for Year 1 Question 83 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_84","1","4","Section 4","medium","Year 1 Question 84 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 84","Option B for Year 1 Question 84","Option C for Year 1 Question 84","Option D for Year 1 Question 84","D","Explanation for Year 1 Question 84 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_85","1","4","Section 4","medium","Year 1 Question 85 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 85","Option B for Year 1 Question 85","Option C for Year 1 Question 85","Option D for Year 1 Question 85","A","Explanation for Year 1 Question 85 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
"y1_new_1770921611895_86","1","4","Section 4","medium","Year 1 Question 86 about workplace safety, tools, and equipment for steamfitters.","Option A for Year 1 Question 86","Option B for Year 1 Question 86","Option C for Year 1 Question 86","Option D for Year 1 Question 86","B","Explanation for Year 1 Question 86 covering the correct answer and safety procedures.","AIT Period 1 Curriculum"
